Source Text,Original Target,Translation,Baseline,Metrics,Baseline Metrics
oh gosh my Russian's a little rusty,Jeg er litt rusten.,Nei.,Oh Gud min russiske er litt rusten,"{'bleu': 0.0, 'r1': 0.0, 'r2': 0.0, 'rl': 0.0, 'chrF': 5.51, 'chrf++': 7.49, 'bert_f1': 0.63, 'length': 4.0, 'len_ratio': 0.21}","{'bleu': 24.45, 'r1': 0.55, 'r2': 0.44, 'rl': 0.55, 'chrF': 60.23, 'chrf++': 57.95, 'bert_f1': 0.72, 'length': 34.0, 'len_ratio': 1.79}"
wait so Amy and Sheldon weren't the first to think of super asymmetry?,Så de var ikke først ute med superasymmetri?,Var Amy og Sheldon ikke de første?,Så Amy og Sheldon var ikke de første til å tenke på super asymmetri?,"{'bleu': 6.41, 'r1': 0.47, 'r2': 0.0, 'rl': 0.35, 'chrF': 22.02, 'chrf++': 20.79, 'bert_f1': 0.71, 'length': 34.0, 'len_ratio': 0.77}","{'bleu': 6.61, 'r1': 0.43, 'r2': 0.1, 'rl': 0.35, 'chrF': 58.28, 'chrf++': 51.21, 'bert_f1': 0.79, 'length': 68.0, 'len_ratio': 1.55}"
okay okay how about this we all tell him?,Vi sier det sammen.,Hva med dette?,OK hva med dette vi alle fortelle ham?,"{'bleu': 0.0, 'r1': 0.0, 'r2': 0.0, 'rl': 0.0, 'chrF': 13.63, 'chrf++': 10.23, 'bert_f1': 0.76, 'length': 14.0, 'len_ratio': 0.74}","{'bleu': 0.0, 'r1': 0.17, 'r2': 0.0, 'rl': 0.17, 'chrF': 13.46, 'chrf++': 10.09, 'bert_f1': 0.76, 'length': 38.0, 'len_ratio': 2.0}"
I was hoping Stuart could show me how to play Fortnite,Jeg vil lære å spille Fortnite.,Nei.,Jeg håpet Stuart kunne vise meg hvordan man spiller Fortnite,"{'bleu': 0.0, 'r1': 0.0, 'r2': 0.0, 'rl': 0.0, 'chrF': 3.47, 'chrf++': 5.12, 'bert_f1': 0.64, 'length': 4.0, 'len_ratio': 0.13}","{'bleu': 4.99, 'r1': 0.24, 'r2': 0.0, 'rl': 0.24, 'chrF': 37.52, 'chrf++': 31.51, 'bert_f1': 0.73, 'length': 60.0, 'len_ratio': 1.94}"
I didn't hear a podcast,Jeg hørte ingenting.,Nei.,Jeg hørte ikke en podcast,"{'bleu': 0.0, 'r1': 0.0, 'r2': 0.0, 'rl': 0.0, 'chrF': 6.7, 'chrf++': 9.21, 'bert_f1': 0.66, 'length': 4.0, 'len_ratio': 0.2}","{'bleu': 21.36, 'r1': 0.6, 'r2': 0.5, 'rl': 0.6, 'chrF': 43.33, 'chrf++': 42.36, 'bert_f1': 0.8, 'length': 25.0, 'len_ratio': 1.25}"
actually I need to talk to both of you about your paper,Jeg må faktisk prate med dere.,Nei.,Jeg trenger faktisk å snakke med dere om papiret ditt,"{'bleu': 0.0, 'r1': 0.0, 'r2': 0.0, 'rl': 0.0, 'chrF': 3.61, 'chrf++': 5.2, 'bert_f1': 0.61, 'length': 4.0, 'len_ratio': 0.13}","{'bleu': 9.98, 'r1': 0.53, 'r2': 0.15, 'rl': 0.53, 'chrF': 44.37, 'chrf++': 41.83, 'bert_f1': 0.83, 'length': 53.0, 'len_ratio': 1.77}"
hey do you wanna play the game or do you wanna crawl back up your mommy's shirt and chow down like a baby?,Vil du spille eller krype tilbake til mamma og sutte på puppen?,Vil du leke eller krype tilbake?,Hei vil du spille spillet eller vil du krype tilbake opp morens skjorte og chow ned som en baby?,"{'bleu': 13.65, 'r1': 0.56, 'r2': 0.37, 'rl': 0.56, 'chrF': 41.64, 'chrf++': 41.07, 'bert_f1': 0.86, 'length': 32.0, 'len_ratio': 0.51}","{'bleu': 6.23, 'r1': 0.45, 'r2': 0.21, 'rl': 0.45, 'chrF': 42.42, 'chrf++': 39.75, 'bert_f1': 0.8, 'length': 96.0, 'len_ratio': 1.52}"
I don't understand how you're not more upset by this is your paper too,Hvorfor er du ikke mer lei deg?,Jeg forstår ikke.,Jeg forstår ikke hvordan du ikke er mer opprørt av dette er din avis også,"{'bleu': 5.88, 'r1': 0.18, 'r2': 0.0, 'rl': 0.18, 'chrF': 15.01, 'chrf++': 13.0, 'bert_f1': 0.71, 'length': 17.0, 'len_ratio': 0.55}","{'bleu': 6.25, 'r1': 0.33, 'r2': 0.09, 'rl': 0.25, 'chrF': 27.69, 'chrf++': 27.64, 'bert_f1': 0.69, 'length': 73.0, 'len_ratio': 2.35}"
well I don't need you to pretend to be okay for me if anything that makes it worse,Ikke lat som du har det bra. Det gjør det bare verre.,Du må ikke late som om det blir verre.,Jeg trenger ikke at du later som om du er OK for meg hvis noe som gjør det verre,"{'bleu': 6.69, 'r1': 0.45, 'r2': 0.0, 'rl': 0.36, 'chrF': 27.93, 'chrf++': 25.76, 'bert_f1': 0.8, 'length': 38.0, 'len_ratio': 0.72}","{'bleu': 5.09, 'r1': 0.42, 'r2': 0.13, 'rl': 0.42, 'chrF': 29.39, 'chrf++': 27.11, 'bert_f1': 0.74, 'length': 80.0, 'len_ratio': 1.51}"
fine. I'm not okay. We came up with this idea at our wedding we poured months of our lives into it I thought we were changing the course of science and now it's all gone I'm devastated,Ja vel. Jeg syns ikke at det er noe greit. Vi fant på dette i bryllupet vårt. Vi jobbet med det i flere måneder. Jeg trodde vi revolusjonerte vitenskapen. Jeg er knust.,Jeg trodde vi endret vitenskapens kurs.,Vi kom opp med denne ideen på vårt bryllup vi hellte måneder av våre liv inn i det trodde jeg vi forandret vitenskapen og nå er alt borte jeg er ødelagt,"{'bleu': 0.31, 'r1': 0.15, 'r2': 0.11, 'rl': 0.15, 'chrF': 17.33, 'chrf++': 15.39, 'bert_f1': 0.76, 'length': 39.0, 'len_ratio': 0.23}","{'bleu': 1.78, 'r1': 0.5, 'r2': 0.09, 'rl': 0.35, 'chrF': 32.28, 'chrf++': 28.32, 'bert_f1': 0.74, 'length': 152.0, 'len_ratio': 0.9}"
would you mind if I gave it another shot?,Får jeg prøve igjen?,Kan jeg prøve?,Er det i orden hvis jeg gir den et nytt forsøk?,"{'bleu': 27.53, 'r1': 0.6, 'r2': 0.5, 'rl': 0.6, 'chrF': 41.87, 'chrf++': 42.54, 'bert_f1': 0.9, 'length': 14.0, 'len_ratio': 0.7}","{'bleu': 4.03, 'r1': 0.11, 'r2': 0.0, 'rl': 0.11, 'chrF': 13.7, 'chrf++': 14.18, 'bert_f1': 0.75, 'length': 47.0, 'len_ratio': 2.35}"
son of a bitch,Helvete!,Jævel,Knep,"{'bleu': 0.0, 'r1': 0.0, 'r2': 0.0, 'rl': 0.0, 'chrF': 14.36, 'chrf++': 11.97, 'bert_f1': 0.68, 'length': 5.0, 'len_ratio': 0.62}","{'bleu': 0.0, 'r1': 0.0, 'r2': 0.0, 'rl': 0.0, 'chrF': 3.47, 'chrf++': 2.78, 'bert_f1': 0.67, 'length': 4.0, 'len_ratio': 0.5}"
no I tried callin' but no one picked up,"Nei, og de tar ikke telefonen.",Nei.,Nei jeg prøvde å ringe men ingen tok opp,"{'bleu': 0.0, 'r1': 0.29, 'r2': 0.0, 'rl': 0.29, 'chrF': 8.68, 'chrf++': 10.73, 'bert_f1': 0.64, 'length': 4.0, 'len_ratio': 0.13}","{'bleu': 4.77, 'r1': 0.13, 'r2': 0.0, 'rl': 0.13, 'chrF': 15.33, 'chrf++': 13.02, 'bert_f1': 0.69, 'length': 40.0, 'len_ratio': 1.33}"
I also texted to see if he wanted to go to the new Fantastic Beasts movie and they did respond,Han svarte ikke da jeg spurte om han ville se Fabeldyr 2.,Jeg sa også at han ville gå på den nye filmen.,Jeg sendte også meldinger for å se om han ønsket å gå til den nye Fantastic Beasts filmen og de svarte,"{'bleu': 6.9, 'r1': 0.26, 'r2': 0.1, 'rl': 0.26, 'chrF': 21.47, 'chrf++': 20.11, 'bert_f1': 0.74, 'length': 46.0, 'len_ratio': 0.81}","{'bleu': 4.32, 'r1': 0.32, 'r2': 0.07, 'rl': 0.19, 'chrF': 26.88, 'chrf++': 24.51, 'bert_f1': 0.76, 'length': 102.0, 'len_ratio': 1.79}"
I appreciate what you're trying to do but please stop you can't make this better,"Takk, men dere kan ikke trøste oss.",Jeg setter pris på det.,"Jeg setter pris på hva du prøver å gjøre, men stopp du kan ikke gjøre dette bedre","{'bleu': 4.92, 'r1': 0.0, 'r2': 0.0, 'rl': 0.0, 'chrF': 10.59, 'chrf++': 9.43, 'bert_f1': 0.75, 'length': 23.0, 'len_ratio': 0.66}","{'bleu': 6.07, 'r1': 0.22, 'r2': 0.08, 'rl': 0.22, 'chrF': 27.63, 'chrf++': 27.92, 'bert_f1': 0.73, 'length': 81.0, 'len_ratio': 2.31}"
let's just try to avoid anything that makes them think about their project or science or Nobel prices or successes or failures,"vi må unngå alt som kan minne om prosjektet deres, vitenskap, -priser eller nederlag.",Vi prøver å unngå alt som får dem til å tenke på prosjektet.,La oss bare prøve å unngå alt som får dem til å tenke på deres prosjekt eller vitenskap eller Nobelpriser eller suksess eller feil.,"{'bleu': 9.69, 'r1': 0.37, 'r2': 0.16, 'rl': 0.37, 'chrF': 32.38, 'chrf++': 29.48, 'bert_f1': 0.79, 'length': 60.0, 'len_ratio': 0.71}","{'bleu': 6.93, 'r1': 0.32, 'r2': 0.11, 'rl': 0.32, 'chrF': 47.45, 'chrf++': 41.47, 'bert_f1': 0.81, 'length': 131.0, 'len_ratio': 1.54}"
you can't have chicken fried steak first ting in the morning,Du kan ikke spise det til frokost!,Nei.,du kan ikke ha kylling steik biff første å spise om morgenen,"{'bleu': 0.0, 'r1': 0.0, 'r2': 0.0, 'rl': 0.0, 'chrF': 2.16, 'chrf++': 1.44, 'bert_f1': 0.6, 'length': 4.0, 'len_ratio': 0.12}","{'bleu': 7.5, 'r1': 0.42, 'r2': 0.24, 'rl': 0.42, 'chrF': 33.11, 'chrf++': 30.73, 'bert_f1': 0.72, 'length': 60.0, 'len_ratio': 1.76}"
it's a pep talk he made when he when he was a kid gave it to me years ago and told me to save it for a real emergency,"Det er en motivasjonstale han spilte inn som gutt, - i tilfelle det skulle oppstå en nødsituasjon.",Det er en peppeprat han holdt da han var liten.,Det er et pepp-prat han holdt da han var barn ga det til meg for mange år siden og sa til meg å lagre det til en ekte nødsituasjon,"{'bleu': 7.66, 'r1': 0.3, 'r2': 0.16, 'rl': 0.3, 'chrF': 14.08, 'chrf++': 15.7, 'bert_f1': 0.75, 'length': 47.0, 'len_ratio': 0.48}","{'bleu': 3.39, 'r1': 0.3, 'r2': 0.09, 'rl': 0.3, 'chrF': 29.51, 'chrf++': 26.35, 'bert_f1': 0.72, 'length': 130.0, 'len_ratio': 1.33}"
I tought so too I also thought superasymmerty was a good idea so what else am I wrong about,Jeg mente også at superasymmetri var en god idé. Jeg kan ha tatt feil om så mye.,Jeg trodde det var en god idé.,Jeg hard så også jeg trodde superasymmerty var en god idé så hva annet er jeg feil om,"{'bleu': 13.68, 'r1': 0.42, 'r2': 0.27, 'rl': 0.42, 'chrF': 21.88, 'chrf++': 24.05, 'bert_f1': 0.81, 'length': 30.0, 'len_ratio': 0.38}","{'bleu': 16.74, 'r1': 0.57, 'r2': 0.24, 'rl': 0.51, 'chrF': 43.34, 'chrf++': 41.31, 'bert_f1': 0.77, 'length': 85.0, 'len_ratio': 1.06}"
I am following the example of seventeenth century philosopher René Descartes. he subjected all his believes to radical doubt so he could build a bed rock belief and build his cognitive life back up on firm principles,"Jeg følger filosof René Descartes' eksempel. Han betvilte enhver formening, for å basere seg kun på det ubestridelige.",Jeg følger eksempelet med filosofen René Descartes.,Jeg følger eksemplet med det syttende århundre filosof René Descartes. Han underkastet alle sine tro til radikal tvil så han kunne bygge en seng stein tro og bygge sitt kognitive liv tilbake på faste prinsipper,"{'bleu': 2.59, 'r1': 0.38, 'r2': 0.25, 'rl': 0.38, 'chrF': 33.21, 'chrf++': 29.55, 'bert_f1': 0.75, 'length': 51.0, 'len_ratio': 0.43}","{'bleu': 3.82, 'r1': 0.33, 'r2': 0.15, 'rl': 0.3, 'chrF': 40.19, 'chrf++': 36.79, 'bert_f1': 0.7, 'length': 210.0, 'len_ratio': 1.78}"
oh so yucky so yucky,Æsj! Altfor ekkelt!,Ja.,Så yucky,"{'bleu': 0.0, 'r1': 0.0, 'r2': 0.0, 'rl': 0.0, 'chrF': 0.0, 'chrf++': 0.0, 'bert_f1': 0.58, 'length': 3.0, 'len_ratio': 0.16}","{'bleu': 0.0, 'r1': 0.0, 'r2': 0.0, 'rl': 0.0, 'chrF': 1.11, 'chrf++': 0.83, 'bert_f1': 0.66, 'length': 8.0, 'len_ratio': 0.42}"
I didn't know you auditioned there,Gjennomførte du opptaksprøven?,Nei.,Jeg visste ikke du har prøvet der,"{'bleu': 0.0, 'r1': 0.0, 'r2': 0.0, 'rl': 0.0, 'chrF': 1.08, 'chrf++': 0.72, 'bert_f1': 0.59, 'length': 4.0, 'len_ratio': 0.13}","{'bleu': 6.57, 'r1': 0.15, 'r2': 0.0, 'rl': 0.15, 'chrF': 17.97, 'chrf++': 16.33, 'bert_f1': 0.68, 'length': 33.0, 'len_ratio': 1.1}"
it's fine I don't need to be a member of the most elite magical society on the face of the earth,Jeg har intet behov for medlemskap i slik en eksklusiv trylleforening.,Jeg trenger ikke være med i det magiske samfunnet.,Det er greit jeg ikke trenger å være medlem av det mest elite magiske samfunnet på jorda,"{'bleu': 4.52, 'r1': 0.19, 'r2': 0.0, 'rl': 0.19, 'chrF': 16.96, 'chrf++': 15.96, 'bert_f1': 0.76, 'length': 50.0, 'len_ratio': 0.71}","{'bleu': 0.0, 'r1': 0.07, 'r2': 0.0, 'rl': 0.07, 'chrF': 19.99, 'chrf++': 14.99, 'bert_f1': 0.69, 'length': 88.0, 'len_ratio': 1.26}"
you know what you should audition now,Du bør gjennomføre opptaksprøven.,Nå vet du hva.,Du vet hva du bør prøve nå,"{'bleu': 10.68, 'r1': 0.18, 'r2': 0.0, 'rl': 0.18, 'chrF': 4.48, 'chrf++': 6.02, 'bert_f1': 0.71, 'length': 14.0, 'len_ratio': 0.42}","{'bleu': 7.81, 'r1': 0.38, 'r2': 0.29, 'rl': 0.38, 'chrF': 22.52, 'chrf++': 21.81, 'bert_f1': 0.71, 'length': 26.0, 'len_ratio': 0.79}"
look I know you still want this and I can help you all those pageants I did as a child I can teach you how to present yourself connect with the judges sabotage the competition,Jeg kan hjelpe. Missekåringene fra barndommen- -lærte meg sceneutstråling og sabotasje av konkurrenter.,Jeg kan lære deg å presentere deg med dommerne.,Jeg vet at du fortsatt ønsker dette og jeg kan hjelpe deg med alle de sidemenn jeg gjorde som et barn jeg kan lære deg hvordan du presenterer deg kontakt med dommerne sabotere konkurransen,"{'bleu': 5.63, 'r1': 0.24, 'r2': 0.09, 'rl': 0.24, 'chrF': 16.98, 'chrf++': 16.02, 'bert_f1': 0.72, 'length': 47.0, 'len_ratio': 0.46}","{'bleu': 2.59, 'r1': 0.2, 'r2': 0.08, 'rl': 0.16, 'chrF': 32.68, 'chrf++': 27.62, 'bert_f1': 0.66, 'length': 188.0, 'len_ratio': 1.83}"
oh we don't have to show it to them,De trenger ikke å se opptaket.,Vi trenger ikke.,Vi trenger ikke vise dem det.,"{'bleu': 16.7, 'r1': 0.5, 'r2': 0.33, 'rl': 0.5, 'chrF': 42.21, 'chrf++': 39.84, 'bert_f1': 0.82, 'length': 16.0, 'len_ratio': 0.53}","{'bleu': 14.54, 'r1': 0.36, 'r2': 0.22, 'rl': 0.36, 'chrF': 44.61, 'chrf++': 40.9, 'bert_f1': 0.83, 'length': 29.0, 'len_ratio': 0.97}"
like they did with that movie that was not great,Det fungerte dårlig i filmen.,Som med filmen.,som de gjorde med filmen som ikke var bra,"{'bleu': 19.38, 'r1': 0.22, 'r2': 0.0, 'rl': 0.22, 'chrF': 24.08, 'chrf++': 25.29, 'bert_f1': 0.75, 'length': 15.0, 'len_ratio': 0.52}","{'bleu': 4.77, 'r1': 0.13, 'r2': 0.0, 'rl': 0.13, 'chrF': 19.75, 'chrf++': 16.71, 'bert_f1': 0.69, 'length': 41.0, 'len_ratio': 1.41}"
look this might seem strange but uh we thought it might help you get some closure if you had a chance to properly say goodbye to your paper,"Dette kan lyde rart, men vi tenkte du kanskje burde ta farvel med teorien.",Det kan virke rart.,"Dette kan virke rart, men vi trodde det kunne hjelpe deg å få noen avslutning hvis du hadde en sjanse til å korrekt si farvel til papiret ditt","{'bleu': 1.56, 'r1': 0.22, 'r2': 0.0, 'rl': 0.22, 'chrF': 11.43, 'chrf++': 11.29, 'bert_f1': 0.72, 'length': 19.0, 'len_ratio': 0.26}","{'bleu': 10.29, 'r1': 0.35, 'r2': 0.16, 'rl': 0.35, 'chrF': 37.26, 'chrf++': 36.17, 'bert_f1': 0.76, 'length': 142.0, 'len_ratio': 1.92}"
wait why why did you just say you're too busy but then,Men du sa jo…,Vent.,vent hvorfor du bare sier du er for opptatt men da,"{'bleu': 0.0, 'r1': 0.0, 'r2': 0.0, 'rl': 0.0, 'chrF': 6.95, 'chrf++': 4.96, 'bert_f1': 0.62, 'length': 5.0, 'len_ratio': 0.38}","{'bleu': 3.75, 'r1': 0.27, 'r2': 0.0, 'rl': 0.13, 'chrF': 11.82, 'chrf++': 11.26, 'bert_f1': 0.64, 'length': 50.0, 'len_ratio': 3.85}"
I don't think so,Nei!,Nei.,Jeg tror ikke det,"{'bleu': 0.0, 'r1': 1.0, 'r2': 0.0, 'rl': 1.0, 'chrF': 47.92, 'chrf++': 40.28, 'bert_f1': 0.84, 'length': 4.0, 'len_ratio': 1.0}","{'bleu': 0.0, 'r1': 0.0, 'r2': 0.0, 'rl': 0.0, 'chrF': 8.33, 'chrf++': 5.56, 'bert_f1': 0.66, 'length': 17.0, 'len_ratio': 4.25}"
It's kinda beautiful isn't it?,Det er jo vakkert.,Den er vakker.,Det er ganske vakkert er det ikke?,"{'bleu': 14.79, 'r1': 0.29, 'r2': 0.0, 'rl': 0.29, 'chrF': 36.19, 'chrf++': 32.35, 'bert_f1': 0.86, 'length': 14.0, 'len_ratio': 0.78}","{'bleu': 12.22, 'r1': 0.55, 'r2': 0.22, 'rl': 0.55, 'chrF': 44.38, 'chrf++': 42.77, 'bert_f1': 0.84, 'length': 34.0, 'len_ratio': 1.89}"
looks like we both had theories that were wrong,Vi fremmet visst begge feilaktige teorier.,Vi hadde begge teorier.,ser ut som vi begge hadde teorier som var feil,"{'bleu': 17.03, 'r1': 0.6, 'r2': 0.0, 'rl': 0.6, 'chrF': 32.64, 'chrf++': 34.37, 'bert_f1': 0.86, 'length': 23.0, 'len_ratio': 0.55}","{'bleu': 4.99, 'r1': 0.37, 'r2': 0.0, 'rl': 0.37, 'chrF': 32.35, 'chrf++': 27.62, 'bert_f1': 0.73, 'length': 46.0, 'len_ratio': 1.1}"
look I get that you're scared but we just have to push past that,Du må overvinne frykten!,Du er redd.,"Ser jeg at du er redd, men vi må bare presse forbi det","{'bleu': 12.44, 'r1': 0.29, 'r2': 0.0, 'rl': 0.29, 'chrF': 7.27, 'chrf++': 8.13, 'bert_f1': 0.76, 'length': 11.0, 'len_ratio': 0.46}","{'bleu': 2.84, 'r1': 0.24, 'r2': 0.0, 'rl': 0.24, 'chrF': 12.7, 'chrf++': 11.4, 'bert_f1': 0.72, 'length': 54.0, 'len_ratio': 2.25}"
Howard and I have been working really hard on his audition so it would be helpful to get another set of eyes on it,Bedøm gjerne Howards opptaksopptreden.,Vi har jobbet hardt med prøven.,Howard og jeg har jobbet veldig hardt på prøven hans så det ville vært nyttig å få et nytt sett øyne på den,"{'bleu': 6.57, 'r1': 0.0, 'r2': 0.0, 'rl': 0.0, 'chrF': 13.19, 'chrf++': 12.32, 'bert_f1': 0.7, 'length': 31.0, 'len_ratio': 0.82}","{'bleu': 0.0, 'r1': 0.0, 'r2': 0.0, 'rl': 0.0, 'chrF': 19.65, 'chrf++': 14.74, 'bert_f1': 0.65, 'length': 107.0, 'len_ratio': 2.82}"
I'm the great Howdini and it's an honor to be auditioning at the Magical Castle,Hei! Jeg er den store Howdini! Det er en ære å være her!,Jeg er den store Howdini.,Jeg er den store Howdini og det er en ære å være privilegert på det magiske slottet,"{'bleu': 14.35, 'r1': 0.56, 'r2': 0.5, 'rl': 0.56, 'chrF': 47.32, 'chrf++': 43.84, 'bert_f1': 0.83, 'length': 25.0, 'len_ratio': 0.45}","{'bleu': 42.82, 'r1': 0.73, 'r2': 0.64, 'rl': 0.73, 'chrF': 64.44, 'chrf++': 62.93, 'bert_f1': 0.83, 'length': 83.0, 'len_ratio': 1.48}"
I'm not gonna audition,Jeg gir opp.,Nei.,Jeg skal ikke prøve,"{'bleu': 0.0, 'r1': 0.0, 'r2': 0.0, 'rl': 0.0, 'chrF': 8.52, 'chrf++': 10.32, 'bert_f1': 0.72, 'length': 4.0, 'len_ratio': 0.33}","{'bleu': 15.97, 'r1': 0.25, 'r2': 0.0, 'rl': 0.25, 'chrF': 14.01, 'chrf++': 13.75, 'bert_f1': 0.77, 'length': 19.0, 'len_ratio': 1.58}"
hey this isn't about me I just wanted you to have your dream and I wanted to control everything about how you looked and acted so your victory was mine,"Jeg ville bare virkeliggjøre din drøm, - og kontrollere alt, så din seier ville bli min seier.",Jeg ville bare at du skulle drømme.,Hei dette handler ikke om meg jeg ville bare at du skulle ha din drøm og jeg ville kontrollere alt om hvordan du så og handlet så din seier var min,"{'bleu': 4.93, 'r1': 0.31, 'r2': 0.17, 'rl': 0.31, 'chrF': 21.07, 'chrf++': 20.15, 'bert_f1': 0.78, 'length': 35.0, 'len_ratio': 0.37}","{'bleu': 7.94, 'r1': 0.56, 'r2': 0.33, 'rl': 0.52, 'chrF': 48.08, 'chrf++': 45.77, 'bert_f1': 0.76, 'length': 147.0, 'len_ratio': 1.56}"
would you be amazed if your watch survived that pounding I think you would BEHOLD,Det ville nok forbause deg om uret ditt overlede det! Ta i øyesyn!,Forbløff meg hvis klokken overlevde.,ville du bli forbauset hvis klokken overlevde at pounding jeg tror du ville BHOLDE,"{'bleu': 0.0, 'r1': 0.0, 'r2': 0.0, 'rl': 0.0, 'chrF': 17.14, 'chrf++': 12.85, 'bert_f1': 0.69, 'length': 36.0, 'len_ratio': 0.55}","{'bleu': 2.64, 'r1': 0.07, 'r2': 0.0, 'rl': 0.07, 'chrF': 30.83, 'chrf++': 23.98, 'bert_f1': 0.69, 'length': 82.0, 'len_ratio': 1.24}"
