Source Text,Original Target,Translation,Baseline,Metrics,Baseline Metrics
why not? You don't think other women find him attractive?,Kan ikke andre kvinner like han?,Tror du ikke andre kvinner synes han er attraktiv?,Tror du ikke andre kvinner synes han er tiltrekkende?,"{'bleu': 17.75, 'r1': 0.53, 'r2': 0.31, 'rl': 0.53, 'chrF': 55.65, 'chrf++': 53.77, 'meteor': 0.61, 'bert_f1': 0.82, 'length': 50.0, 'len_ratio': 1.56}","{'bleu': 17.75, 'r1': 0.53, 'r2': 0.31, 'rl': 0.53, 'chrF': 55.03, 'chrf++': 53.35, 'meteor': 0.61, 'bert_f1': 0.81, 'length': 53.0, 'len_ratio': 1.66}"
you know what sure the three of us in the library looking up old papers that actually could be kinda fun,Ja vel. Det blir gøy å lete gjennom gamle artikler med dere to.,Du vet hva som er sikker på at vi tre på biblioteket leter opp gamle papirer som faktisk kan være litt moro,vet du hva som er sikkert at vi tre i biblioteket ser opp gamle papirer som faktisk kan være litt moro,"{'bleu': 1.73, 'r1': 0.06, 'r2': 0.0, 'rl': 0.06, 'chrF': 20.35, 'chrf++': 16.03, 'meteor': 0.03, 'bert_f1': 0.7, 'length': 107.0, 'len_ratio': 1.7}","{'bleu': 1.82, 'r1': 0.06, 'r2': 0.0, 'rl': 0.06, 'chrF': 18.85, 'chrf++': 14.91, 'meteor': 0.03, 'bert_f1': 0.68, 'length': 102.0, 'len_ratio': 1.62}"
I don't know if you'd like it it's kinda for gamers,Det er mest for gamers.,Jeg vet ikke om du vil ha det for spillere.,Jeg vet ikke om du vil at det er litt for spillere,"{'bleu': 4.46, 'r1': 0.27, 'r2': 0.0, 'rl': 0.27, 'chrF': 18.67, 'chrf++': 17.57, 'meteor': 0.23, 'bert_f1': 0.74, 'length': 43.0, 'len_ratio': 1.87}","{'bleu': 4.03, 'r1': 0.35, 'r2': 0.13, 'rl': 0.35, 'chrF': 21.78, 'chrf++': 19.81, 'meteor': 0.39, 'bert_f1': 0.73, 'length': 50.0, 'len_ratio': 2.17}"
okay this citation is correct how're you doing?,Dette stemmer. Hvordan går det?,Hvordan går det med henvisningen?,OK denne henvisningen er riktig hvordan du har det?,"{'bleu': 27.48, 'r1': 0.67, 'r2': 0.6, 'rl': 0.67, 'chrF': 46.18, 'chrf++': 46.38, 'meteor': 0.54, 'bert_f1': 0.84, 'length': 33.0, 'len_ratio': 1.06}","{'bleu': 8.39, 'r1': 0.27, 'r2': 0.0, 'rl': 0.27, 'chrF': 26.54, 'chrf++': 25.1, 'meteor': 0.35, 'bert_f1': 0.75, 'length': 51.0, 'len_ratio': 1.65}"
no it actually makes it more exciting we have to go through all of this before I run out of this,"Nei, dette gjør det mer spennende. Vi må blir ferdig før denne er tom.",Nei det gjør det mer spennende at vi må gå gjennom alt dette før jeg slipper ut av dette,Nei det faktisk gjør det mer spennende vi må gå gjennom alt dette før jeg går tom for dette,"{'bleu': 15.07, 'r1': 0.59, 'r2': 0.34, 'rl': 0.54, 'chrF': 44.69, 'chrf++': 41.56, 'meteor': 0.48, 'bert_f1': 0.81, 'length': 88.0, 'len_ratio': 1.26}","{'bleu': 15.52, 'r1': 0.63, 'r2': 0.39, 'rl': 0.58, 'chrF': 46.22, 'chrf++': 43.44, 'meteor': 0.52, 'bert_f1': 0.79, 'length': 91.0, 'len_ratio': 1.3}"
really video games? Is this some sort of freaky Friday thing where you're actually Howard?,"Spiller du? Er det som i Freaky Friday, og du egentlig er Howard?",Er det en slags frekke fredagsgreia der du faktisk er Howard?,Er dette en slags freakday-sak hvor du faktisk er Howard?,"{'bleu': 11.89, 'r1': 0.42, 'r2': 0.18, 'rl': 0.42, 'chrF': 28.3, 'chrf++': 28.85, 'meteor': 0.36, 'bert_f1': 0.73, 'length': 61.0, 'len_ratio': 0.94}","{'bleu': 10.06, 'r1': 0.33, 'r2': 0.09, 'rl': 0.33, 'chrF': 28.34, 'chrf++': 27.26, 'meteor': 0.29, 'bert_f1': 0.74, 'length': 57.0, 'len_ratio': 0.88}"
oh gosh my Russian's a little rusty,Jeg er litt rusten.,Russeren min er litt rusten.,Oh Gud min russiske er litt rusten,"{'bleu': 50.81, 'r1': 0.67, 'r2': 0.57, 'rl': 0.67, 'chrF': 70.12, 'chrf++': 71.32, 'meteor': 0.78, 'bert_f1': 0.85, 'length': 28.0, 'len_ratio': 1.47}","{'bleu': 24.45, 'r1': 0.55, 'r2': 0.44, 'rl': 0.55, 'chrF': 60.23, 'chrf++': 57.95, 'meteor': 0.57, 'bert_f1': 0.72, 'length': 34.0, 'len_ratio': 1.79}"
wait so Amy and Sheldon weren't the first to think of super asymmetry?,Så de var ikke først ute med superasymmetri?,Så Amy og Sheldon var ikke de første til å tenke på superasymmetrisk?,Vent så Amy og Sheldon var ikke de første til å tenke på super asymmetri?,"{'bleu': 7.14, 'r1': 0.45, 'r2': 0.1, 'rl': 0.36, 'chrF': 55.49, 'chrf++': 49.25, 'meteor': 0.39, 'bert_f1': 0.83, 'length': 69.0, 'len_ratio': 1.57}","{'bleu': 5.82, 'r1': 0.42, 'r2': 0.09, 'rl': 0.33, 'chrF': 56.68, 'chrf++': 48.66, 'meteor': 0.38, 'bert_f1': 0.77, 'length': 73.0, 'len_ratio': 1.66}"
okay okay how about this we all tell him?,Vi sier det sammen.,"Ok, hva med dette vi forteller ham?","OK, hva med dette vi alle fortelle ham?","{'bleu': 0.0, 'r1': 0.18, 'r2': 0.0, 'rl': 0.18, 'chrF': 14.7, 'chrf++': 11.03, 'meteor': 0.09, 'bert_f1': 0.78, 'length': 35.0, 'len_ratio': 1.84}","{'bleu': 0.0, 'r1': 0.17, 'r2': 0.0, 'rl': 0.17, 'chrF': 13.31, 'chrf++': 9.99, 'meteor': 0.09, 'bert_f1': 0.75, 'length': 39.0, 'len_ratio': 2.05}"
I was hoping Stuart could show me how to play Fortnite,Jeg vil lære å spille Fortnite.,Jeg håpet Stuart kunne vise meg hvordan man spiller Fortnite.,Jeg håpet Stuart kunne vise meg hvordan man spiller Fortnite,"{'bleu': 8.3, 'r1': 0.24, 'r2': 0.0, 'rl': 0.24, 'chrF': 40.77, 'chrf++': 37.31, 'meteor': 0.35, 'bert_f1': 0.83, 'length': 61.0, 'len_ratio': 1.97}","{'bleu': 4.99, 'r1': 0.24, 'r2': 0.0, 'rl': 0.24, 'chrF': 37.52, 'chrf++': 31.51, 'meteor': 0.14, 'bert_f1': 0.73, 'length': 60.0, 'len_ratio': 1.94}"
I didn't hear a podcast,Jeg hørte ingenting.,Jeg hørte ikke en podcast.,Jeg hørte ikke en podcast,"{'bleu': 17.97, 'r1': 0.6, 'r2': 0.5, 'rl': 0.6, 'chrF': 43.69, 'chrf++': 45.05, 'meteor': 0.61, 'bert_f1': 0.87, 'length': 26.0, 'len_ratio': 1.3}","{'bleu': 21.36, 'r1': 0.6, 'r2': 0.5, 'rl': 0.6, 'chrF': 43.33, 'chrf++': 42.36, 'meteor': 0.46, 'bert_f1': 0.8, 'length': 25.0, 'len_ratio': 1.25}"
actually I need to talk to both of you about your paper,Jeg må faktisk prate med dere.,Jeg må snakke med dere om avisen din.,Jeg trenger faktisk å snakke med dere begge om papiret ditt,"{'bleu': 14.26, 'r1': 0.57, 'r2': 0.33, 'rl': 0.57, 'chrF': 38.98, 'chrf++': 41.59, 'meteor': 0.62, 'bert_f1': 0.86, 'length': 37.0, 'len_ratio': 1.23}","{'bleu': 8.91, 'r1': 0.5, 'r2': 0.14, 'rl': 0.5, 'chrF': 42.79, 'chrf++': 40.43, 'meteor': 0.43, 'bert_f1': 0.82, 'length': 59.0, 'len_ratio': 1.97}"
hey do you wanna play the game or do you wanna crawl back up your mommy's shirt and chow down like a baby?,Vil du spille eller krype tilbake til mamma og sutte på puppen?,Vil du leke eller krype tilbake i mors skjorte og spise ned som en baby?,Hei vil du spille spillet eller vil du krype tilbake opp morens skjorte og chow ned som en baby?,"{'bleu': 12.45, 'r1': 0.44, 'r2': 0.24, 'rl': 0.44, 'chrF': 43.21, 'chrf++': 41.83, 'meteor': 0.48, 'bert_f1': 0.85, 'length': 72.0, 'len_ratio': 1.14}","{'bleu': 6.23, 'r1': 0.45, 'r2': 0.21, 'rl': 0.45, 'chrF': 42.42, 'chrf++': 39.75, 'meteor': 0.46, 'bert_f1': 0.8, 'length': 96.0, 'len_ratio': 1.52}"
I don't understand how you're not more upset by this is your paper too,Hvorfor er du ikke mer lei deg?,Jeg forstår ikke hvordan du ikke er mer opprørt av dette er avisen din også,Jeg forstår ikke hvordan du ikke er mer opprørt av dette er din avis også,"{'bleu': 6.25, 'r1': 0.33, 'r2': 0.09, 'rl': 0.25, 'chrF': 26.78, 'chrf++': 26.98, 'meteor': 0.36, 'bert_f1': 0.68, 'length': 75.0, 'len_ratio': 2.42}","{'bleu': 6.25, 'r1': 0.33, 'r2': 0.09, 'rl': 0.25, 'chrF': 27.69, 'chrf++': 27.64, 'meteor': 0.36, 'bert_f1': 0.69, 'length': 73.0, 'len_ratio': 2.35}"
well I don't need you to pretend to be okay for me if anything that makes it worse,Ikke lat som du har det bra. Det gjør det bare verre.,Du må ikke late som om det er noe som gjør det verre.,Jeg trenger ikke at du later som om du er OK for meg hvis noe som gjør det verre,"{'bleu': 8.89, 'r1': 0.59, 'r2': 0.16, 'rl': 0.52, 'chrF': 36.43, 'chrf++': 34.61, 'meteor': 0.45, 'bert_f1': 0.8, 'length': 53.0, 'len_ratio': 1.0}","{'bleu': 5.09, 'r1': 0.42, 'r2': 0.13, 'rl': 0.42, 'chrF': 29.39, 'chrf++': 27.11, 'meteor': 0.29, 'bert_f1': 0.74, 'length': 80.0, 'len_ratio': 1.51}"
fine. I'm not okay. We came up with this idea at our wedding we poured months of our lives into it I thought we were changing the course of science and now it's all gone I'm devastated,Ja vel. Jeg syns ikke at det er noe greit. Vi fant på dette i bryllupet vårt. Vi jobbet med det i flere måneder. Jeg trodde vi revolusjonerte vitenskapen. Jeg er knust.,Vi kom på ideen om at vi hadde flere måneder av livet i bryllupet.,Vi kom opp med denne ideen på vårt bryllup vi hellte måneder av våre liv inn i det trodde jeg vi forandret vitenskapen og nå er alt borte jeg er ødelagt,"{'bleu': 1.96, 'r1': 0.37, 'r2': 0.13, 'rl': 0.24, 'chrF': 20.95, 'chrf++': 19.85, 'meteor': 0.16, 'bert_f1': 0.73, 'length': 66.0, 'len_ratio': 0.39}","{'bleu': 1.78, 'r1': 0.5, 'r2': 0.09, 'rl': 0.35, 'chrF': 32.28, 'chrf++': 28.32, 'meteor': 0.24, 'bert_f1': 0.74, 'length': 152.0, 'len_ratio': 0.9}"
would you mind if I gave it another shot?,Får jeg prøve igjen?,Har du noe imot at jeg gir den en sjanse til?,Er det i orden hvis jeg gir den et nytt forsøk?,"{'bleu': 4.03, 'r1': 0.12, 'r2': 0.0, 'rl': 0.12, 'chrF': 14.01, 'chrf++': 14.42, 'meteor': 0.18, 'bert_f1': 0.74, 'length': 45.0, 'len_ratio': 2.25}","{'bleu': 4.03, 'r1': 0.11, 'r2': 0.0, 'rl': 0.11, 'chrF': 13.7, 'chrf++': 14.18, 'meteor': 0.18, 'bert_f1': 0.75, 'length': 47.0, 'len_ratio': 2.35}"
son of a bitch,Helvete!,Jævla drittsekk.,Jævla kjeft,"{'bleu': 0.0, 'r1': 0.0, 'r2': 0.0, 'rl': 0.0, 'chrF': 7.09, 'chrf++': 5.32, 'meteor': 0.0, 'bert_f1': 0.64, 'length': 16.0, 'len_ratio': 2.0}","{'bleu': 0.0, 'r1': 0.0, 'r2': 0.0, 'rl': 0.0, 'chrF': 7.94, 'chrf++': 5.95, 'meteor': 0.0, 'bert_f1': 0.65, 'length': 11.0, 'len_ratio': 1.38}"
no I tried callin' but no one picked up,"Nei, og de tar ikke telefonen.","Jeg prøvde å ringe, men ingen tok opp.","Nei jeg prøvde å ringe, men ingen tok opp","{'bleu': 4.99, 'r1': 0.0, 'r2': 0.0, 'rl': 0.0, 'chrF': 13.43, 'chrf++': 13.05, 'meteor': 0.12, 'bert_f1': 0.74, 'length': 38.0, 'len_ratio': 1.27}","{'bleu': 4.99, 'r1': 0.13, 'r2': 0.0, 'rl': 0.13, 'chrF': 15.84, 'chrf++': 14.86, 'meteor': 0.12, 'bert_f1': 0.71, 'length': 41.0, 'len_ratio': 1.37}"
I also texted to see if he wanted to go to the new Fantastic Beasts movie and they did respond,Han svarte ikke da jeg spurte om han ville se Fabeldyr 2.,Jeg sms'er også for å se om han ville gå på den nye Fantastiske Udyr-filmen og de svarte.,Jeg sendte også meldinger for å se om han ønsket å gå til den nye Fantastic Beasts filmen og de svarte,"{'bleu': 8.96, 'r1': 0.39, 'r2': 0.14, 'rl': 0.26, 'chrF': 35.92, 'chrf++': 34.12, 'meteor': 0.42, 'bert_f1': 0.76, 'length': 89.0, 'len_ratio': 1.56}","{'bleu': 4.32, 'r1': 0.32, 'r2': 0.07, 'rl': 0.19, 'chrF': 26.88, 'chrf++': 24.51, 'meteor': 0.27, 'bert_f1': 0.76, 'length': 102.0, 'len_ratio': 1.79}"
I appreciate what you're trying to do but please stop you can't make this better,"Takk, men dere kan ikke trøste oss.","Jeg setter pris på det du prøver å gjøre, men hold opp med at du ikke kan gjøre dette bedre.","Jeg setter pris på hva du prøver å gjøre, men stopp du kan ikke gjøre dette bedre","{'bleu': 4.34, 'r1': 0.2, 'r2': 0.0, 'rl': 0.13, 'chrF': 22.05, 'chrf++': 23.11, 'meteor': 0.36, 'bert_f1': 0.73, 'length': 92.0, 'len_ratio': 2.63}","{'bleu': 6.07, 'r1': 0.22, 'r2': 0.08, 'rl': 0.22, 'chrF': 27.63, 'chrf++': 27.92, 'meteor': 0.38, 'bert_f1': 0.73, 'length': 81.0, 'len_ratio': 2.31}"
let's just try to avoid anything that makes them think about their project or science or Nobel prices or successes or failures,"vi må unngå alt som kan minne om prosjektet deres, vitenskap, -priser eller nederlag.","La oss prøve å unngå alt som får dem til å tenke på prosjektet, vitenskapen eller Nobelprisene, suksessene eller fiaskoene.",La oss bare prøve å unngå alt som får dem til å tenke på deres prosjekt eller vitenskap eller Nobelpriser eller suksess eller feil.,"{'bleu': 7.83, 'r1': 0.29, 'r2': 0.12, 'rl': 0.29, 'chrF': 45.03, 'chrf++': 40.44, 'meteor': 0.36, 'bert_f1': 0.81, 'length': 123.0, 'len_ratio': 1.45}","{'bleu': 6.93, 'r1': 0.32, 'r2': 0.11, 'rl': 0.32, 'chrF': 47.45, 'chrf++': 41.47, 'meteor': 0.32, 'bert_f1': 0.81, 'length': 131.0, 'len_ratio': 1.54}"
you can't have chicken fried steak first ting in the morning,Du kan ikke spise det til frokost!,Du kan ikke ha kyllingsteik biff først om morgenen.,du kan ikke ha kylling steik biff første å spise om morgenen,"{'bleu': 15.62, 'r1': 0.35, 'r2': 0.27, 'rl': 0.35, 'chrF': 30.61, 'chrf++': 30.86, 'meteor': 0.36, 'bert_f1': 0.74, 'length': 51.0, 'len_ratio': 1.5}","{'bleu': 7.5, 'r1': 0.42, 'r2': 0.24, 'rl': 0.42, 'chrF': 33.11, 'chrf++': 30.73, 'meteor': 0.45, 'bert_f1': 0.72, 'length': 60.0, 'len_ratio': 1.76}"
it's a pep talk he made when he when he was a kid gave it to me years ago and told me to save it for a real emergency,"Det er en motivasjonstale han spilte inn som gutt, - i tilfelle det skulle oppstå en nødsituasjon.",Det er en pep-prat han gjorde da han var liten ga meg den for mange år siden og ba meg spare den til en krisesituasjon.,Det er et pepp-prat han holdt da han var barn ga det til meg for mange år siden og sa til meg å lagre det til en ekte nødssituasjon,"{'bleu': 6.39, 'r1': 0.23, 'r2': 0.1, 'rl': 0.23, 'chrF': 26.8, 'chrf++': 25.08, 'meteor': 0.22, 'bert_f1': 0.71, 'length': 119.0, 'len_ratio': 1.21}","{'bleu': 3.24, 'r1': 0.26, 'r2': 0.04, 'rl': 0.26, 'chrF': 27.81, 'chrf++': 24.48, 'meteor': 0.12, 'bert_f1': 0.7, 'length': 131.0, 'len_ratio': 1.34}"
I tought so too I also thought superasymmerty was a good idea so what else am I wrong about,Jeg mente også at superasymmetri var en god idé. Jeg kan ha tatt feil om så mye.,"Jeg trodde også at superasymmerti var en god idé, så hva mer er jeg galt med?",Jeg hard så også jeg trodde superasymmerty var en god ide så hva annet er jeg feil om,"{'bleu': 16.25, 'r1': 0.55, 'r2': 0.26, 'rl': 0.48, 'chrF': 48.16, 'chrf++': 44.25, 'meteor': 0.44, 'bert_f1': 0.83, 'length': 77.0, 'len_ratio': 0.96}","{'bleu': 10.7, 'r1': 0.51, 'r2': 0.18, 'rl': 0.46, 'chrF': 41.73, 'chrf++': 38.74, 'meteor': 0.41, 'bert_f1': 0.75, 'length': 85.0, 'len_ratio': 1.06}"
I am following the example of seventeenth century philosopher René Descartes. he subjected all his believes to radical doubt so he could build a bed rock belief and build his cognitive life back up on firm principles,"Jeg følger filosof René Descartes' eksempel. Han betvilte enhver formening, for å basere seg kun på det ubestridelige.",Jeg følger eksempelet med filosofen René Descartes i det syttende århundre.,Jeg følger eksemplet med det syttende århundre filosof René Descartes. Han underkastet alle sine tro til radikal tvil så han kunne bygge en seng stein tro og bygge sitt kognitive liv tilbake på faste prinsipper,"{'bleu': 4.02, 'r1': 0.4, 'r2': 0.21, 'rl': 0.4, 'chrF': 36.59, 'chrf++': 32.52, 'meteor': 0.24, 'bert_f1': 0.72, 'length': 75.0, 'len_ratio': 0.64}","{'bleu': 3.82, 'r1': 0.33, 'r2': 0.15, 'rl': 0.3, 'chrF': 40.19, 'chrf++': 36.79, 'meteor': 0.33, 'bert_f1': 0.7, 'length': 210.0, 'len_ratio': 1.78}"
oh so yucky so yucky,Æsj! Altfor ekkelt!,"Å, så yucky så yucky",Oh så yucky så yucky,"{'bleu': 0.0, 'r1': 0.0, 'r2': 0.0, 'rl': 0.0, 'chrF': 2.98, 'chrf++': 2.23, 'meteor': 0.0, 'bert_f1': 0.67, 'length': 20.0, 'len_ratio': 1.05}","{'bleu': 0.0, 'r1': 0.0, 'r2': 0.0, 'rl': 0.0, 'chrF': 2.98, 'chrf++': 2.23, 'meteor': 0.0, 'bert_f1': 0.67, 'length': 20.0, 'len_ratio': 1.05}"
I didn't know you auditioned there,Gjennomførte du opptaksprøven?,Jeg visste ikke at du var der.,Jeg visste ikke at du har prøvet der.,"{'bleu': 5.52, 'r1': 0.17, 'r2': 0.0, 'rl': 0.17, 'chrF': 9.24, 'chrf++': 9.76, 'meteor': 0.11, 'bert_f1': 0.66, 'length': 30.0, 'len_ratio': 1.0}","{'bleu': 4.77, 'r1': 0.14, 'r2': 0.0, 'rl': 0.14, 'chrF': 16.34, 'chrf++': 14.96, 'meteor': 0.11, 'bert_f1': 0.69, 'length': 37.0, 'len_ratio': 1.23}"
it's fine I don't need to be a member of the most elite magical society on the face of the earth,Jeg har intet behov for medlemskap i slik en eksklusiv trylleforening.,Jeg trenger ikke være medlem av det mest elite magiske samfunnet på jorda.,Det er greit jeg ikke trenger å være medlem av det mest elite magiske samfunnet på jordoverflaten,"{'bleu': 3.38, 'r1': 0.08, 'r2': 0.0, 'rl': 0.08, 'chrF': 21.78, 'chrf++': 18.36, 'meteor': 0.08, 'bert_f1': 0.74, 'length': 74.0, 'len_ratio': 1.06}","{'bleu': 0.0, 'r1': 0.07, 'r2': 0.0, 'rl': 0.07, 'chrF': 20.99, 'chrf++': 15.74, 'meteor': 0.04, 'bert_f1': 0.69, 'length': 97.0, 'len_ratio': 1.39}"
you know what you should audition now,Du bør gjennomføre opptaksprøven.,Du vet hva du bør prøve nå.,Du vet hva du bør prøve nå,"{'bleu': 7.27, 'r1': 0.38, 'r2': 0.29, 'rl': 0.38, 'chrF': 22.94, 'chrf++': 24.42, 'meteor': 0.48, 'bert_f1': 0.78, 'length': 27.0, 'len_ratio': 0.82}","{'bleu': 7.81, 'r1': 0.38, 'r2': 0.29, 'rl': 0.38, 'chrF': 22.52, 'chrf++': 21.81, 'meteor': 0.36, 'bert_f1': 0.71, 'length': 26.0, 'len_ratio': 0.79}"
look I know you still want this and I can help you all those pageants I did as a child I can teach you how to present yourself connect with the judges sabotage the competition,Jeg kan hjelpe. Missekåringene fra barndommen- -lærte meg sceneutstråling og sabotasje av konkurrenter.,"Jeg vet at du fortsatt vil ha dette, og jeg kan hjelpe deg med å gjøre som barn. Jeg kan lære deg å presentere deg med dommerne sabotere konkurransen.",Jeg vet at du fortsatt ønsker dette og jeg kan hjelpe deg med alle de sidemenn jeg gjorde som et barn jeg kan lære deg hvordan du presenterer deg kontakt med dommerne sabotere konkurransen,"{'bleu': 3.63, 'r1': 0.22, 'r2': 0.09, 'rl': 0.18, 'chrF': 34.94, 'chrf++': 31.37, 'meteor': 0.26, 'bert_f1': 0.71, 'length': 150.0, 'len_ratio': 1.46}","{'bleu': 2.59, 'r1': 0.2, 'r2': 0.08, 'rl': 0.16, 'chrF': 32.68, 'chrf++': 27.62, 'meteor': 0.19, 'bert_f1': 0.66, 'length': 188.0, 'len_ratio': 1.83}"
oh we don't have to show it to them,De trenger ikke å se opptaket.,Vi trenger ikke vise dem det.,Vi trenger ikke å vise dem det.,"{'bleu': 14.54, 'r1': 0.36, 'r2': 0.22, 'rl': 0.36, 'chrF': 44.61, 'chrf++': 40.9, 'meteor': 0.37, 'bert_f1': 0.83, 'length': 29.0, 'len_ratio': 0.97}","{'bleu': 22.09, 'r1': 0.36, 'r2': 0.22, 'rl': 0.36, 'chrF': 48.69, 'chrf++': 47.52, 'meteor': 0.53, 'bert_f1': 0.86, 'length': 31.0, 'len_ratio': 1.03}"
like they did with that movie that was not great,Det fungerte dårlig i filmen.,Som de gjorde med den filmen som ikke var bra.,som de gjorde med den filmen som ikke var bra,"{'bleu': 4.46, 'r1': 0.12, 'r2': 0.0, 'rl': 0.12, 'chrF': 20.36, 'chrf++': 18.87, 'meteor': 0.15, 'bert_f1': 0.75, 'length': 46.0, 'len_ratio': 1.59}","{'bleu': 4.2, 'r1': 0.12, 'r2': 0.0, 'rl': 0.12, 'chrF': 19.91, 'chrf++': 16.78, 'meteor': 0.08, 'bert_f1': 0.69, 'length': 45.0, 'len_ratio': 1.55}"
look this might seem strange but uh we thought it might help you get some closure if you had a chance to properly say goodbye to your paper,"Dette kan lyde rart, men vi tenkte du kanskje burde ta farvel med teorien.","Dette kan virke rart, men vi tenkte at det kunne hjelpe deg å få en avslutning hvis du hadde en sjanse til å si adjø til avisen din.","Dette kan virke rart, men vi trodde det kunne hjelpe deg å få noen avslutning hvis du hadde en sjanse til å korrekt si farvel til papiret ditt","{'bleu': 14.23, 'r1': 0.35, 'r2': 0.21, 'rl': 0.35, 'chrF': 39.93, 'chrf++': 39.45, 'meteor': 0.49, 'bert_f1': 0.78, 'length': 132.0, 'len_ratio': 1.78}","{'bleu': 10.29, 'r1': 0.35, 'r2': 0.16, 'rl': 0.35, 'chrF': 37.26, 'chrf++': 36.17, 'meteor': 0.43, 'bert_f1': 0.76, 'length': 142.0, 'len_ratio': 1.92}"
wait why why did you just say you're too busy but then,Men du sa jo…,Hvorfor sa du at du var for opptatt?,"vent hvorfor du bare sier du er for opptatt, men da","{'bleu': 5.67, 'r1': 0.33, 'r2': 0.0, 'rl': 0.17, 'chrF': 8.65, 'chrf++': 11.53, 'meteor': 0.22, 'bert_f1': 0.62, 'length': 36.0, 'len_ratio': 2.77}","{'bleu': 3.39, 'r1': 0.27, 'r2': 0.0, 'rl': 0.13, 'chrF': 11.67, 'chrf++': 11.04, 'meteor': 0.21, 'bert_f1': 0.64, 'length': 51.0, 'len_ratio': 3.92}"
I don't think so,Nei!,Jeg tror ikke det.,Jeg tror ikke det.,"{'bleu': 0.0, 'r1': 0.0, 'r2': 0.0, 'rl': 0.0, 'chrF': 8.06, 'chrf++': 5.38, 'meteor': 0.0, 'bert_f1': 0.67, 'length': 18.0, 'len_ratio': 4.5}","{'bleu': 0.0, 'r1': 0.0, 'r2': 0.0, 'rl': 0.0, 'chrF': 8.06, 'chrf++': 5.38, 'meteor': 0.0, 'bert_f1': 0.67, 'length': 18.0, 'len_ratio': 4.5}"
It's kinda beautiful isn't it?,Det er jo vakkert.,Er det ikke vakkert?,Det er ganske vakkert er det ikke?,"{'bleu': 10.68, 'r1': 0.75, 'r2': 0.0, 'rl': 0.5, 'chrF': 39.2, 'chrf++': 31.9, 'meteor': 0.3, 'bert_f1': 0.85, 'length': 20.0, 'len_ratio': 1.11}","{'bleu': 12.22, 'r1': 0.55, 'r2': 0.22, 'rl': 0.55, 'chrF': 44.38, 'chrf++': 42.77, 'meteor': 0.28, 'bert_f1': 0.84, 'length': 34.0, 'len_ratio': 1.89}"
looks like we both had theories that were wrong,Vi fremmet visst begge feilaktige teorier.,Ser ut som vi begge hadde teorier som var feil.,ser ut som vi begge hadde teorier som var feil,"{'bleu': 4.93, 'r1': 0.37, 'r2': 0.0, 'rl': 0.37, 'chrF': 32.62, 'chrf++': 29.4, 'meteor': 0.27, 'bert_f1': 0.79, 'length': 47.0, 'len_ratio': 1.12}","{'bleu': 4.99, 'r1': 0.37, 'r2': 0.0, 'rl': 0.37, 'chrF': 32.35, 'chrf++': 27.62, 'meteor': 0.21, 'bert_f1': 0.73, 'length': 46.0, 'len_ratio': 1.1}"
look I get that you're scared but we just have to push past that,Du må overvinne frykten!,"Jeg skjønner at du er redd, men vi må bare gå forbi det.","Se jeg får at du er redd, men vi må bare presse forbi det","{'bleu': 2.63, 'r1': 0.22, 'r2': 0.0, 'rl': 0.22, 'chrF': 15.84, 'chrf++': 13.71, 'meteor': 0.17, 'bert_f1': 0.72, 'length': 56.0, 'len_ratio': 2.33}","{'bleu': 2.63, 'r1': 0.21, 'r2': 0.0, 'rl': 0.21, 'chrF': 12.5, 'chrf++': 11.21, 'meteor': 0.17, 'bert_f1': 0.72, 'length': 57.0, 'len_ratio': 2.38}"
Howard and I have been working really hard on his audition so it would be helpful to get another set of eyes on it,Bedøm gjerne Howards opptaksopptreden.,"Howard og jeg har jobbet hardt på auditionen hans, så det ville vært nyttig å få et par øyne på den.",Howard og jeg har jobbet veldig hardt på prøven hans så det ville vært nyttig å få et nytt sett med blikk på den.,"{'bleu': 1.65, 'r1': 0.0, 'r2': 0.0, 'rl': 0.0, 'chrF': 21.67, 'chrf++': 17.86, 'meteor': 0.15, 'bert_f1': 0.66, 'length': 100.0, 'len_ratio': 2.63}","{'bleu': 1.51, 'r1': 0.0, 'r2': 0.0, 'rl': 0.0, 'chrF': 21.44, 'chrf++': 17.6, 'meteor': 0.14, 'bert_f1': 0.66, 'length': 113.0, 'len_ratio': 2.97}"
I'm the great Howdini and it's an honor to be auditioning at the Magical Castle,Hei! Jeg er den store Howdini! Det er en ære å være her!,Jeg er den store Howdini og det er en ære å være audition på Magical Castle,Jeg er den store Howdini og det er en ære å være privilegert på det magiske slottet,"{'bleu': 45.79, 'r1': 0.76, 'r2': 0.67, 'rl': 0.76, 'chrF': 65.39, 'chrf++': 63.74, 'meteor': 0.69, 'bert_f1': 0.81, 'length': 75.0, 'len_ratio': 1.34}","{'bleu': 42.82, 'r1': 0.73, 'r2': 0.64, 'rl': 0.73, 'chrF': 64.44, 'chrf++': 62.93, 'meteor': 0.68, 'bert_f1': 0.83, 'length': 83.0, 'len_ratio': 1.48}"
